transformation,replica,state,frame,distance,angle1,angle2,torsion1,torsion2,torsion3,arc_length1,arc_length2,d0
CHEMBL1078774~CHEMBL1078691,replica-0,0,0,14.50243,78.58189,61.04468,-93.9728,-71.73091,-148.407,19.890266,15.451333,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,1,14.570504,54.011307,59.66291,-84.78214,-64.826965,-129.31152,13.735251,15.172474,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,2,14.504136,77.96681,53.133236,-91.42671,-59.827656,-149.05461,19.736902,13.45041,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,3,14.630486,81.13811,62.870068,-90.30577,-61.877007,-144.16702,20.718626,16.05388,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,4,15.123604,74.40687,56.04693,-93.18547,-66.02108,-150.50691,19.64019,14.793961,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,5,14.773392,63.652725,56.490585,-95.350464,-80.14165,-133.08151,16.412495,14.565777,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,6,14.810332,62.65766,53.294704,-99.189026,-51.55517,-137.89505,16.19632,13.776097,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,7,14.619495,75.16688,52.192974,-85.7489,-58.25683,-142.32335,19.179455,13.3174715,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,8,14.5948105,62.13927,51.232502,-79.183365,-63.412632,-149.04718,15.828581,13.050326,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,9,14.418129,69.49306,50.858383,-102.43395,-54.321575,-136.39183,17.4875,12.798199,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,10,14.501276,70.03268,58.803764,-112.056625,-68.24777,-142.09271,17.72492,14.882939,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,11,14.875483,68.74273,54.686924,-97.95191,-73.075294,-144.01202,17.847408,14.198155,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,12,14.81277,74.28432,54.987904,-108.44032,-63.895554,-142.96588,19.204844,14.216111,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,13,14.604501,76.0079,49.17177,-91.5458,-56.93822,-147.85835,19.374155,12.533718,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,14,14.614591,73.623955,56.28897,-106.38189,-69.61093,-153.0697,18.779463,14.35778,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,15,14.4909525,71.70913,53.90675,-99.19824,-67.42076,-164.00186,18.136301,13.633817,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,16,14.711089,71.04414,59.784996,-86.47165,-46.411495,-148.71182,18.241077,15.350212,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,17,14.909152,63.86604,59.464138,-106.22032,-53.835064,-157.3875,16.618824,15.473389,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,18,15.167174,69.63354,55.575134,-98.37109,-56.648327,-144.20226,18.43319,14.711689,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,19,14.401968,61.563686,56.01742,-93.57648,-67.76092,-132.50288,15.474756,14.080638,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,20,14.581418,68.786674,50.67831,-98.34165,-63.871082,-151.1226,17.505777,12.897313,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,21,14.685551,66.58626,57.124866,-97.84915,-71.11019,-170.06505,17.066805,14.641744,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,22,14.558206,79.49229,63.356342,-85.46336,-79.8727,-142.662,20.198084,16.098125,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,23,15.12043,66.9091,60.240505,-96.23407,-77.7165,-128.27695,17.657398,15.897547,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,0,24,14.7099285,78.01806,52.475082,-81.49167,-49.531723,-174.12396,20.030096,13.472279,14.675823450088501
CHEMBL1078774~CHEMBL1078691,replica-0,24,0,16.326233,52.18815,48.155766,-124.605995,-98.03981,-142.45378,14.870831,13.721817,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,1,16.53079,48.797153,50.5773,-124.31689,-51.57683,-169.50931,14.0787945,14.592397,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,2,16.095032,54.793552,55.608433,-112.49955,-86.48371,-138.26743,15.392128,15.621037,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,3,16.373186,44.19775,50.20673,-133.6531,-79.20803,-136.53731,12.630215,14.347377,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,4,16.61135,58.7895,53.84685,-116.52698,-73.23565,-133.77359,17.044413,15.611426,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,5,16.41523,51.380657,50.298317,-116.82804,-86.861305,-155.76228,14.720548,14.410458,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,6,16.475813,43.671017,52.3648,-109.965164,-85.34721,-156.1826,12.557915,15.057875,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,7,16.197102,52.664318,50.415382,-108.83479,-81.637886,-144.99316,14.88782,14.252063,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,8,16.193064,54.891853,54.657276,-124.15947,-84.27477,-141.12389,15.51366,15.447363,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,9,16.590548,45.437325,47.265648,-125.08806,-83.9036,-149.68564,13.156817,13.686226,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,10,16.156944,59.658527,54.50824,-100.46278,-97.42617,-137.61086,16.82322,15.37088,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,11,16.33813,53.37543,46.68802,-115.90446,-93.179184,-146.68742,15.220227,13.313283,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,12,16.519875,49.66661,50.622383,-122.98484,-89.456535,-157.54665,14.320186,14.595759,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,13,16.404673,52.783367,48.895298,-122.1175,-87.385124,-142.30989,15.112699,13.999484,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,14,15.97045,56.489277,47.958824,-117.900375,-87.467316,-148.87971,15.745648,13.367895,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,15,16.435507,39.93635,55.966835,-116.90213,-78.20131,-152.16042,11.455891,16.054293,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,16,16.162907,47.5835,53.05691,-131.19403,-84.25056,-155.5751,13.423112,14.967138,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,17,16.336168,43.953735,47.300507,-121.57887,-98.29121,-134.20044,12.532085,13.486317,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,18,16.290941,50.508583,50.3103,-119.72778,-90.826385,-158.22093,14.361134,14.304755,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,19,16.235382,52.793262,52.62487,-136.37706,-66.95334,-142.56413,14.959544,14.911829,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,20,16.609713,56.499805,49.803753,-109.32819,-82.54837,-141.45096,16.378963,14.437818,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,21,16.281763,49.141945,49.44543,-122.97812,-79.562096,-150.6726,13.9646845,14.050926,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,22,16.194088,55.758953,54.57501,-110.97649,-96.4175,-140.18681,15.759719,15.425089,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,23,16.144606,54.374603,53.5071,-108.96259,-65.911804,-133.51263,15.321486,15.077044,16.350362300872803
